ComplicationTemplate_Name,ComplicationTemplate_URL,ComplicationTemplate_Picture_URL,Components,ComplicationFamily_Name
"CLKComplicationTemplateGraphicCircularOpenGaugeRangeText","https://developer.apple.com/documentation/clockkit/clkcomplicationtemplategraphiccircularopengaugerangetext","https://docs-assets.developer.apple.com/published/c074193676/22ee1e35-d6ee-4d3c-8f2c-bd30bc2e9e82.png","CLKTextProviderCLKGauageProvider","graphicCircular"
"CLKComplicationTemplateGraphicCircularOpenGaugeImage","https://developer.apple.com/documentation/clockkit/clkcomplicationtemplategraphiccircularopengaugeimage","https://docs-assets.developer.apple.com/published/25e8688113/4a11383e-0935-4223-9d5b-455b479d5e0c.png","CLKGauageProviderCLKImageProviderCLKTextProvider","graphicCircular"
"CLKComplicationTemplateUtilitarianSmallFlat","https://developer.apple.com/documentation/clockkit/clkcomplicationtemplateutilitariansmallflat","https://docs-assets.developer.apple.com/published/72fdb58c7a/67e115fe-d8f5-4c16-a50f-eac612d738a8.png","CLKTextProviderCLKImageProvider","utilitarianSmallFlat"
"CLKComplicationTemplateUtilitarianSmallFlat","https://developer.apple.com/documentation/clockkit/clkcomplicationtemplateutilitariansmallflat","https://docs-assets.developer.apple.com/published/72fdb58c7a/67e115fe-d8f5-4c16-a50f-eac612d738a8.png","CLKTextProviderCLKImageProvider","utilitarianSmall"
"CLKComplicationTemplateUtilitarianSmallSquare","https://developer.apple.com/documentation/clockkit/clkcomplicationtemplateutilitariansmallsquare","https://docs-assets.developer.apple.com/published/6228e0783c/ceaedd23-f6d7-462b-ad00-51e680a01d88.png","CLKImageProvider","utilitarianSmall"
"CLKComplicationTemplateUtilitarianSmallRingText","https://developer.apple.com/documentation/clockkit/clkcomplicationtemplateutilitariansmallringtext","https://docs-assets.developer.apple.com/published/8067ca9800/951d3524-0ac2-4a8a-a686-5b267d3b7124.png","CLKTextProviderCLKComplicationRingStyle","utilitarianSmall"
"CLKComplicationTemplateUtilitarianSmallRingImage","https://developer.apple.com/documentation/clockkit/clkcomplicationtemplateutilitariansmallringimage","https://docs-assets.developer.apple.com/published/07f4eefdcc/267efb22-f9c0-4074-807a-204058d77645.png","CLKImageProviderCLKComplicationRingStyle","utilitarianSmall"
"CLKComplicationTemplateGraphicCircularView","https://developer.apple.com/documentation/clockkit/clkcomplicationtemplategraphiccircularview","https://docs-assets.developer.apple.com/published/22661c3647/rendered2x-1595966144.png","View","graphicCircular"
"CLKComplicationTemplateGraphicCircularStackViewText","https://developer.apple.com/documentation/clockkit/clkcomplicationtemplategraphiccircularstackviewtext","https://docs-assets.developer.apple.com/published/18df82b271/rendered2x-1595976655.png","ViewCLKTextProvider","graphicCircular"
"CLKComplicationTemplateModularLargeTable","https://developer.apple.com/documentation/clockkit/clkcomplicationtemplatemodularlargetable","https://docs-assets.developer.apple.com/published/cecaf29700/d606c7aa-433b-4b2e-8620-d561b9ec06fe.png","","modularLarge"
"CLKComplicationTemplateModularLargeColumns","https://developer.apple.com/documentation/clockkit/clkcomplicationtemplatemodularlargecolumns","https://docs-assets.developer.apple.com/published/6345c70c09/11069e47-8a9f-48de-9326-8a5a902735ca.png","","modularLarge"
"CLKComplicationTemplateModularLargeTallBody","https://developer.apple.com/documentation/clockkit/clkcomplicationtemplatemodularlargetallbody","https://docs-assets.developer.apple.com/published/049e9bada4/c22e9bc0-aa80-4722-8062-54a48e46de00.png","","modularLarge"
"CLKComplicationTemplateModularLargeStandardBody","https://developer.apple.com/documentation/clockkit/clkcomplicationtemplatemodularlargestandardbody","https://docs-assets.developer.apple.com/published/67d7e5ccc7/cdfe32b5-b113-4782-bf3c-10ee33fb3c9e.png","","modularLarge"
"CLKComplicationTemplateModularSmallRingImage","https://developer.apple.com/documentation/clockkit/clkcomplicationtemplatemodularsmallringimage","https://docs-assets.developer.apple.com/published/c0a96140d2/1ce72e7d-f7db-48b1-8e03-bcfb183e5033.png","","modularSmall"
"CLKComplicationTemplateModularSmallSimpleImage","https://developer.apple.com/documentation/clockkit/clkcomplicationtemplatemodularsmallsimpleimage","https://docs-assets.developer.apple.com/published/451026ac1a/ffd95032-9e4f-40e8-ab1b-e4dd3afc2624.png","","modularSmall"
"CLKComplicationTemplateModularSmallStackImage","https://developer.apple.com/documentation/clockkit/clkcomplicationtemplatemodularsmallstackimage","https://docs-assets.developer.apple.com/published/774bfe0015/9ea6c2c5-3961-42d1-aad8-9ed8f3cd7832.png","","modularSmall"
"CLKComplicationTemplateModularSmallColumnsText","https://developer.apple.com/documentation/clockkit/clkcomplicationtemplatemodularsmallcolumnstext","https://docs-assets.developer.apple.com/published/74815d2a2e/12450d0d-9e38-4ff5-bfbd-63710bbe54ef.png","","modularSmall"
"CLKComplicationTemplateModularSmallRingText","https://developer.apple.com/documentation/clockkit/clkcomplicationtemplatemodularsmallringtext","https://docs-assets.developer.apple.com/published/ed9c25695b/7d7c4f44-e3e9-42dc-a6fa-41d4dcdbdfd3.png","","modularSmall"
"CLKComplicationTemplateModularSmallSimpleText","https://developer.apple.com/documentation/clockkit/clkcomplicationtemplatemodularsmallsimpletext","https://docs-assets.developer.apple.com/published/6e22c2343b/a0709b99-7d4f-4d1e-a524-04e906e4fd2a.png","","modularSmall"
"CLKComplicationTemplateModularSmallStackText","https://developer.apple.com/documentation/clockkit/clkcomplicationtemplatemodularsmallstacktext","https://docs-assets.developer.apple.com/published/494e4fb618/3899e1ab-2ff5-482d-bf28-0e96c91424e8.png","","modularSmall"
"CLKComplicationTemplateGraphicExtraLargeCircularImage","https://developer.apple.com/documentation/clockkit/clkcomplicationtemplategraphicextralargecircularimage","https://docs-assets.developer.apple.com/published/cba5252a7c/rendered2x-1595964050.png","CLKImageProvider","graphicExtraLarge"
"CLKComplicationTemplateGraphicExtraLargeCircularView","https://developer.apple.com/documentation/clockkit/clkcomplicationtemplategraphicextralargecircularview","https://docs-assets.developer.apple.com/published/3075c8244b/rendered2x-1595972728.png","View","graphicExtraLarge"
"CLKComplicationTemplateGraphicExtraLargeCircularStackImage","https://developer.apple.com/documentation/clockkit/clkcomplicationtemplategraphicextralargecircularstackimage","https://docs-assets.developer.apple.com/published/de4ab28b7d/rendered2x-1595964050.png","CLKImageProviderCLKTextProvider","graphicExtraLarge"
"CLKComplicationTemplateGraphicExtraLargeCircularStackViewText","https://developer.apple.com/documentation/clockkit/clkcomplicationtemplategraphicextralargecircularstackviewtext","https://docs-assets.developer.apple.com/published/e0492f475d/rendered2x-1595967414.png","ViewCLKTextProvider","graphicExtraLarge"
